chain,sample,tissue,histological site, lengthMean, nReads_covering_median
IGK,G62600.GTEX-14A5H-1826.2,Esophagus - Mucosa,Esophagus,11.0037735849,1.0
IGK,G52618.GTEX-12WS9-0326.2,Skin - Not Sun Exposed (Suprapubic),Skin,10.75,1.0
IGK,G25147.GTEX-WHWD-2426-SM-3LK6S.1,Artery - Tibial,Blood Vessel,11.0,1.0
IGK,G60743.GTEX-13NZA-1426.2,Lung,Lung,11.1264367816,2.0
IGK,G61866.GTEX-147F4-0626.2,Testis,Testis,11.1714285714,1.0
IGK,G62891.GTEX-1399U-0326.3,Thyroid,Thyroid,11.1267605634,1.0
IGK,G65556.GTEX-QCQG-0006.3,Whole Blood,Blood,11.1660377358,1.0
IGK,G45133.GTEX-Z93S-0005.2,Whole Blood,Blood,11.124807396,1.0
IGK,G65681.GTEX-13S7M-0426.2,Nerve - Tibial,Nerve,11.0188679245,2.0
IGK,G53114.GTEX-11LCK-0226.3,Pancreas,Pancreas,10.9375,1.0
IGK,G63095.GTEX-145LS-0011-R6b.2,Brain - Nucleus accumbens (basal ganglia),Brain,11.125,1.0
IGK,G59174.GTEX-ZLV1-1826.3,Adipose - Subcutaneous,Adipose Tissue,11.09375,1.0
IGK,G61197.GTEX-Y9LG-1926.3,Muscle - Skeletal,Muscle,10.9473684211,1.0
IGK,G58313.GTEX-111YS-0926.2,Esophagus - Mucosa,Esophagus,10.9891304348,1.0
IGK,G33844.GTEX-QCQG-0126-SM-48U27.3,Adrenal Gland,Adrenal Gland,11.15,1.0
IGK,G64391.GTEX-147JS-1126.1,Liver,Liver,11.0401691332,1.0
IGK,G63205.GTEX-13RTJ-0011-R3a.2,Brain - Anterior cingulate cortex (BA24),Brain,10.8,1.0
IGK,G32747.GTEX-RU72-0726-SM-46MUW.2,Esophagus - Mucosa,Esophagus,11.25,1.0
IGK,G60711.GTEX-13PL6-0926.2,Adipose - Visceral (Omentum),Adipose Tissue,11.0833333333,2.0
IGK,G42476.GTEX-QEG5-0726.2,Breast - Mammary Tissue,Breast,11.0866666667,1.0
IGK,G60399.GTEX-13O21-3026.3,Lung,Lung,10.9776119403,1.0
IGK,G18637.GTEX-RU1J-0226-SM-2TF5Y.1,Thyroid,Thyroid,11.0666666667,1.0
IGK,G60763.GTEX-13O61-0126.2,Adrenal Gland,Adrenal Gland,11.0,1.0
IGK,G34254.GTEX-XBED-2426-SM-4AT4O.2,Artery - Tibial,Blood Vessel,11.0952380952,1.0
IGK,G35316.GTEX-U3ZM-1126-SM-4DXUB.7,Colon - Transverse,Colon,11.076986755,1.0
IGK,G47179.GTEX-YFCO-2026.1,Adipose - Subcutaneous,Adipose Tissue,10.8823529412,4.0
IGK,G25721.GTEX-NPJ8-1226-SM-3MJHM.1,Testis,Testis,11.2023809524,2.0
IGK,G61169.GTEX-Y8E4-1126.3,Artery - Aorta,Blood Vessel,11.1883116883,2.0
IGK,G62002.GTEX-13FXS-2826.2,Prostate,Prostate,11.2312138728,1.0
IGK,G18068.GTEX-O5YW-1826-SM-2YUN2.1,Artery - Tibial,Blood Vessel,8.5,1.0
IGK,G39742.GTEX-UTHO-2726-SM-4JBH9.1,Prostate,Prostate,11.1321776815,1.0
IGK,G18659.GTEX-RVPU-0005-SM-2TF6L.1,Whole Blood,Blood,11.0,1.0
IGK,G62039.GTEX-13G51-2726.2,Muscle - Skeletal,Muscle,11.0,1.0
IGK,G33691.GTEX-RNOR-0008-SM-48FEY.4,Cells - Transformed fibroblasts,Skin,11.2857142857,1.0
IGK,G65720.GTEX-145LT-0726.2,Breast - Mammary Tissue,Breast,11.1,3.0
IGK,G20894.GTEX-QMR6-1426-SM-32PLA.1,Brain - Cortex,Brain,11.0,1.0
IGK,G60490.GTEX-13FHP-0826.2,Heart - Atrial Appendage,Heart,10.9523809524,2.0
IGK,G60457.GTEX-131XE-1626.2,Skin - Not Sun Exposed (Suprapubic),Skin,11.2,1.0
IGK,G32985.GTEX-WCDI-0008-SM-47JYE.3,Cells - Transformed fibroblasts,Skin,11.3636363636,1.0
IGK,G34490.GTEX-XUJ4-0326-SM-4BOP9.8,Artery - Aorta,Blood Vessel,11.0925925926,2.0
IGK,G59239.GTEX-12696-1326.3,Esophagus - Mucosa,Esophagus,11.015625,1.0
IGK,G65100.GTEX-11OC5-0008.2,Cells - Transformed fibroblasts,Skin,11.0,1.0
IGK,G39647.GTEX-UJHI-0926-SM-4IHKF.2,Esophagus - Muscularis,Esophagus,10.6666666667,1.0
IGK,G34471.GTEX-XQ8I-0826-SM-4BOOE.7,Artery - Tibial,Blood Vessel,11.0,1.0
IGK,G65070.GTEX-ZE9C-1326.2,Adipose - Visceral (Omentum),Adipose Tissue,11.0487804878,3.0
IGK,G33949.GTEX-PWCY-0008-SM-48TE9.1,Cells - Transformed fibroblasts,Skin,11.0,1.0
IGK,G62210.GTEX-146FH-0926.2,Artery - Coronary,Blood Vessel,11.0578512397,1.0
IGK,G35171.GTEX-SNMC-1026-SM-4DM7K.1,Testis,Testis,11.0,1.0
IGK,G63104.GTEX-1445S-0011-R5a.2,Brain - Caudate (basal ganglia),Brain,11.2,1.0
IGK,G65688.GTEX-14C39-2526.2,Adipose - Subcutaneous,Adipose Tissue,11.1666666667,3.0
IGK,G35250.GTEX-SNMC-0008-SM-4DM5A.1,Cells - Transformed fibroblasts,Skin,11.0,1.0
IGK,G34681.GTEX-SE5C-1526-SM-4BRWU.1,Colon - Transverse,Colon,11.0434487441,1.0
IGK,G52626.GTEX-12ZZZ-1726.2,Heart - Left Ventricle,Heart,11.1818181818,1.0
IGK,G62578.GTEX-14C39-0005.2,Whole Blood,Blood,11.1040974529,1.0
IGK,G39752.GTEX-V955-1026-SM-4JBHO.1,Esophagus - Muscularis,Esophagus,11.3333333333,1.0
IGK,G23307.GTEX-NFK9-0006-SM-3GACS.1,Whole Blood,Blood,11.106557377,1.0
IGK,G35183.GTEX-SNOS-0926-SM-4DM7A.1,Pancreas,Pancreas,11.0909090909,1.0
IGK,G59146.GTEX-11WQK-1026.6,Skin - Not Sun Exposed (Suprapubic),Skin,10.8275862069,1.0
IGK,G19490.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,9.66666666667,1.0
IGK,G33926.GTEX-OXRO-1226-SM-48TDL.1,Thyroid,Thyroid,11.0909090909,1.0
IGK,G16546.GTEX-OHPJ-0926.2,Heart - Left Ventricle,Heart,11.3333333333,1.0
IGK,G23486.GTEX-W5X1-2526-SM-3GILC.1,Skin - Not Sun Exposed (Suprapubic),Skin,10.7307692308,1.0
IGK,G46743.GTEX-WFG8-1226.1,Esophagus - Mucosa,Esophagus,11.0572792363,1.0
IGK,G32413.GTEX-QMRM-0926-SM-447BR.2,Esophagus - Muscularis,Esophagus,10.9032258065,1.0
IGK,G62198.GTEX-146FR-1426.2,Nerve - Tibial,Nerve,11.0147058824,3.0
IGK,G25681.GTEX-OHPK-2426-SM-3MJGH.1,Ovary,Ovary,10.9925925926,1.0
IGK,G58432.GTEX-131XW-1126.2,Lung,Lung,11.0427350427,1.0
IGK,G25710.GTEX-OHPL-0006-SM-3MJHB.1,Whole Blood,Blood,11.2896551724,1.0
IGK,G34035.GTEX-S4Z8-0226-SM-4AD5K.3,Spleen,Spleen,11.124877571,2.0
IGK,G34292.GTEX-XK95-1026-SM-4GIDV.2,Esophagus - Mucosa,Esophagus,11.1724137931,1.0
IGK,G64407.GTEX-14DAQ-2526.1,Adipose - Visceral (Omentum),Adipose Tissue,11.0033500838,1.0
IGK,G63961.GTEX-11I78-0008.1,Cells - Transformed fibroblasts,Skin,12.0,1.0
IGK,G64023.GTEX-147F4-1026.1,Artery - Aorta,Blood Vessel,10.25,2.5
IGK,G65068.GTEX-ZDTT-2126.2,Breast - Mammary Tissue,Breast,11.0,1.0
IGK,G32792.GTEX-X585-3026-SM-46MWF.2,Brain - Cortex,Brain,11.4285714286,1.0
IGK,G62241.GTEX-14A5H-1626.2,Colon - Sigmoid,Colon,12.0,1.0
IGK,G33813.GTEX-Q734-0226-SM-48U1A.3,Spleen,Spleen,11.1272727273,2.0
IGK,G62063.GTEX-13G51-0011-R7b.2,Brain - Putamen (basal ganglia),Brain,11.0,1.0
IGK,G61959.GTEX-139TT-2626.2,Brain - Cerebellum,Brain,11.0,1.0
IGK,G59112.GTEX-11VI4-1626.6,Small Intestine - Terminal Ileum,Small Intestine,11.0122743682,1.0
IGK,G35334.GTEX-U4B1-1526-SM-4DXSL.7,Testis,Testis,11.2857142857,1.0
IGK,G63176.GTEX-13RTL-0011-R1a.2,Brain - Hippocampus,Brain,11.8,1.0
IGK,G59299.GTEX-12WSL-0426.2,Pancreas,Pancreas,11.0588235294,1.0
IGK,G18672.GTEX-RU1J-0126-SM-2TF6Y.1,Lung,Lung,11.1578947368,1.0
IGK,G48908.GTEX-ZDXO-2926.1,Brain - Cerebellum,Brain,11.125,1.0
IGK,G40893.GTEX-W5X1-2626-SM-4LMI8.3,Adipose - Subcutaneous,Adipose Tissue,11.0434782609,2.0
IGK,G48910.GTEX-ZDYS-1626.1,Artery - Tibial,Blood Vessel,11.0,1.0
IGK,G33978.GTEX-S341-0126-SM-4AD64.3,Adrenal Gland,Adrenal Gland,11.1649484536,1.0
IGK,G25186.GTEX-WL46-0526-SM-3LK7W.1,Artery - Tibial,Blood Vessel,11.1818181818,2.0
IGK,G47162.GTEX-YEC4-0226.1,Heart - Atrial Appendage,Heart,10.9166666667,1.0
IGK,G34408.GTEX-XPVG-0926-SM-4B651.3,Artery - Coronary,Blood Vessel,11.1904761905,1.0
IGK,G34346.GTEX-S95S-1126-SM-4B64E.3,Testis,Testis,11.3333333333,1.0
IGK,G34415.GTEX-XPVG-2026-SM-4B65E.3,Prostate,Prostate,10.8936170213,1.0
IGK,G19407.GTEX-S7SE-0526-SM-2XCD8.1,Artery - Tibial,Blood Vessel,11.2272727273,1.0
IGK,G33666.GTEX-R55D-1226-SM-48FE9.4,Esophagus - Muscularis,Esophagus,10.9666666667,2.0
IGK,G65107.GTEX-13QJC-0626.2,Artery - Coronary,Blood Vessel,11.152173913,1.0
IGK,G46988.GTEX-Y5LM-0826.3,Adipose - Visceral (Omentum),Adipose Tissue,11.0,1.0
IGK,G18047.GTEX-OOBK-0226-SM-2YUMF.1,Adipose - Subcutaneous,Adipose Tissue,11.0158730159,1.0
IGK,G61191.GTEX-Y8LW-0726.3,Esophagus - Mucosa,Esophagus,11.043956044,1.0
IGK,G62279.GTEX-ZZPU-0726.2,Pancreas,Pancreas,10.9219858156,1.0
IGK,G41591.GTEX-WYJK-1226.1,Artery - Aorta,Blood Vessel,11.25,1.0
IGK,G65129.GTEX-YJ8O-0226.2,Artery - Aorta,Blood Vessel,11.1363636364,1.0
IGK,G32421.GTEX-QV44-1825-SM-447CF.2,Adipose - Subcutaneous,Adipose Tissue,10.9264705882,2.0
IGK,G64344.GTEX-146FH-1026.1,Heart - Left Ventricle,Heart,11.0,1.0
IGK,G16592.GTEX-P4PP-0526.2,Lung,Lung,10.9971319312,1.0
IGK,G63988.GTEX-145MF-0926.1,Skin - Not Sun Exposed (Suprapubic),Skin,11.4615384615,1.0
IGK,G35324.GTEX-U4B1-0226-SM-4DXU8.8,Artery - Coronary,Blood Vessel,11.1103752759,3.0
IGK,G64340.K-562.1,Cells - Leukemia cell line (CML),Bone Marrow,11.0,1.0
IGK,G25701.GTEX-OHPK-2326-SM-3MJH2.1,Fallopian Tube,Fallopian Tube,11.1515892421,2.0
IGK,G47177.GTEX-YFCO-0326.1,Thyroid,Thyroid,11.0105263158,1.0
IGK,G16719.GTEX-NL3H-0011-R7a.4,Brain - Putamen (basal ganglia),Brain,10.6666666667,1.0
IGK,G62461.GTEX-11UD2-0005.2,Whole Blood,Blood,11.0718446602,1.0
IGK,G23409.GTEX-QEL4-0726-SM-3GIJ5.1,Thyroid,Thyroid,11.0,2.0
IGK,G16808.GTEX-QEG5-0226.4,Skin - Sun Exposed (Lower leg),Skin,11.0625,1.0
IGK,G65120.GTEX-13SLX-0126.2,Nerve - Tibial,Nerve,10.9090909091,3.0
IGK,G25942.GTEX-WY7C-0226-SM-3NB37.2,Thyroid,Thyroid,11.050209205,1.0
IGK,G33937.GTEX-P44H-0008-SM-48TDW.1,Cells - Transformed fibroblasts,Skin,10.875,1.0
IGK,G64192.GTEX-147F4-0126.1,Artery - Tibial,Blood Vessel,nan,nan
IGK,G63939.GTEX-13RTL-0011-R9a.2,Brain - Spinal cord (cervical c-1),Brain,11.0,1.0
IGK,G65593.GTEX-13RTJ-0011-R6a.3,Brain - Nucleus accumbens (basal ganglia),Brain,11.0,1.0
IGK,G35244.GTEX-T5JW-0008-SM-4DM5X.1,Cells - Transformed fibroblasts,Skin,11.4,1.0
IGK,G63005.GTEX-13SLX-0011-R10a.3,Brain - Frontal Cortex (BA9),Brain,11.0,2.0
IGK,G23326.GTEX-PSDG-0005-SM-3GADC.1,Whole Blood,Blood,10.9791666667,2.0
IGK,G25931.GTEX-WY7C-2426-SM-3NB2V.2,Adipose - Subcutaneous,Adipose Tissue,10.9,1.0
IGK,G26552.GTEX-S7PM-0526-SM-3NM92.1,Muscle - Skeletal,Muscle,11.1153846154,1.0
IGK,G42358.GTEX-X4LF-0002.2,Cells - EBV-transformed lymphocytes,Blood,11.0769230769,3.0
IGK,G18049.GTEX-OIZH-0226-SM-2YUMH.1,Adipose - Subcutaneous,Adipose Tissue,11.13,1.0
IGK,G34505.GTEX-XUW1-1026-SM-4BONY.7,Thyroid,Thyroid,11.0638297872,1.0
IGK,G41604.GTEX-WYVS-0426.2,Artery - Aorta,Blood Vessel,10.8598130841,3.0
IGK,G60643.GTEX-139T8-0526.2,Muscle - Skeletal,Muscle,11.1333333333,1.0
IGK,G34046.GTEX-S7SF-0926-SM-4AD4M.3,Esophagus - Mucosa,Esophagus,11.0950819672,1.0
IGK,G23357.GTEX-QVUS-0006-SM-3GAE8.1,Whole Blood,Blood,11.0697115385,3.0
IGK,G32760.GTEX-X585-0005-SM-46MV3.2,Whole Blood,Blood,11.1623376623,1.0
IGK,G62044.GTEX-13JUV-2926.2,Brain - Cortex,Brain,11.0,1.0
IGK,G34266.GTEX-XBEC-1526-SM-4AT68.2,Liver,Liver,11.0782608696,1.0
IGK,G40759.GTEX-V955-1926-SM-4KL1L.2,Testis,Testis,10.9523809524,1.0
IGK,G25187.GTEX-WL46-0011-R7A-SM-3LK7X.1,Brain - Putamen (basal ganglia),Brain,10.5,1.0
IGK,G46440.GTEX-Y3I4-0006.1,Whole Blood,Blood,11.0906735751,1.0
IGK,G53074.GTEX-11GSP-0326.3,Adrenal Gland,Adrenal Gland,11.0666666667,1.0
IGK,G62193.GTEX-145MN-1926.2,Breast - Mammary Tissue,Breast,11.1176470588,1.0
IGK,G64360.GTEX-13PVR-0226.1,Adrenal Gland,Adrenal Gland,11.0,1.0
IGK,G64256.GTEX-14AS3-0526.1,Artery - Aorta,Blood Vessel,11.3157894737,1.0
IGK,G64040.GTEX-13PVR-1726.1,Colon - Sigmoid,Colon,11.0,1.0
IGK,G65537.GTEX-OOBJ-0326.3,Heart - Left Ventricle,Heart,11.1428571429,1.0
IGK,G46844.GTEX-Y5LM-0326.1,Spleen,Spleen,11.1330820528,1.0
IGK,G62624.GTEX-145MO-2326.2,Liver,Liver,10.9503916449,1.0
IGK,G62067.K-562.2,Cells - Leukemia cell line (CML),Bone Marrow,11.0,1.0
IGK,G62192.GTEX-145MN-1726.2,Colon - Transverse,Colon,11.1132662835,1.0
IGK,G33857.GTEX-Q2AG-0008-SM-48U2K.3,Cells - Transformed fibroblasts,Skin,11.0,1.0
IGK,G33003.GTEX-X638-0003-SM-47JZ1.3,Cells - EBV-transformed lymphocytes,Blood,11.1034482759,3.0
IGK,G32944.GTEX-RWSA-1726-SM-47JX7.2,Adrenal Gland,Adrenal Gland,10.8888888889,1.0
IGK,G65221.GTEX-13SLX-3126.2,Brain - Cortex,Brain,11.3333333333,1.0
IGK,G63144.GTEX-11TT1-1926.2,Adipose - Visceral (Omentum),Adipose Tissue,11.0952380952,1.0
IGK,G34453.GTEX-XQ8I-0326-SM-4BOPN.8,Artery - Coronary,Blood Vessel,11.0697674419,1.0
IGK,G61784.GTEX-YB5K-0626.2,Esophagus - Gastroesophageal Junction,Esophagus,11.027027027,1.0
IGK,G32920.GTEX-RUSQ-0126-SM-47JWV.3,Spleen,Spleen,11.0752925878,2.0
IGK,G61220.GTEX-13FH7-1426.3,Pancreas,Pancreas,10.9512195122,1.0
IGK,G62651.GTEX-12WS9-0006.2,Whole Blood,Blood,11.0879888268,1.0
IGK,G59173.GTEX-WHSB-0326.3,Lung,Lung,11.0726744186,1.0
IGK,G41184.GTEX-WI4N-2526.5,Ovary,Ovary,11.075,1.0
IGK,G63030.GTEX-11ZU8-0005.2,Whole Blood,Blood,11.1063829787,1.0
IGK,G33792.GTEX-Q2AH-0826-SM-48TZN.2,Esophagus - Mucosa,Esophagus,11.0739393939,1.0
IGK,G32816.GTEX-X4XY-0008-SM-46MVL.2,Cells - Transformed fibroblasts,Skin,11.5,2.0
IGK,G21086.GTEX-TKQ1-0226-SM-33HB5.1,Breast - Mammary Tissue,Breast,11.1746031746,2.0
IGK,G16740.GTEX-O5YW-0326.3,Heart - Left Ventricle,Heart,10.6666666667,1.0
IGK,G48676.GTEX-ZDTS-1026.2,Lung,Lung,11.0509363296,2.0
IGK,G62946.GTEX-ZAB5-0726.3,Thyroid,Thyroid,11.1711711712,1.0
IGK,G65191.GTEX-13S7M-0326.2,Muscle - Skeletal,Muscle,11.2173913043,1.0
IGK,G32736.GTEX-RTLS-0726-SM-46MV4.2,Artery - Coronary,Blood Vessel,11.0,1.0
IGK,G34310.GTEX-XGQ4-0008-SM-4AT3Z.2,Cells - Transformed fibroblasts,Skin,11.5,1.0
IGK,G63140.GTEX-11UD1-0126.2,Skin - Sun Exposed (Lower leg),Skin,11.5,1.0
IGK,G26694.GTEX-X261-0126-SM-3NMD6.1,Skin - Sun Exposed (Lower leg),Skin,11.0625,1.0
IGK,G63039.GTEX-YFC4-3126.2,Brain - Cortex,Brain,11.6666666667,1.0
IGK,G25940.GTEX-WWYW-0011-R10A-SM-3NB35.2,Brain - Frontal Cortex (BA9),Brain,10.9545454545,1.0
IGK,G19395.GTEX-S7SF-0001-SM-3K2BE.1,Cells - EBV-transformed lymphocytes,Blood,10.9217877095,1.0
IGK,G63046.GTEX-11EQ9-2126.2,Muscle - Skeletal,Muscle,11.0,2.0
IGK,G19475.GTEX-PVOW-0626-SM-2XCF6.2,Nerve - Tibial,Nerve,11.0,1.0
IGK,G61828.GTEX-13O3O-0011-R10a.2,Brain - Frontal Cortex (BA9),Brain,10.8,1.0
IGK,G34680.GTEX-SIU7-0926-SM-4BRX1.1,Pancreas,Pancreas,11.3703703704,1.0
IGK,G60341.GTEX-13O61-2426.2,Adipose - Subcutaneous,Adipose Tissue,11.1052631579,2.0
IGK,G25946.GTEX-WWYW-3226-SM-3NB3B.2,Pituitary,Pituitary,11.0625,1.0
IGK,G65680.GTEX-13S7M-0226.2,Adipose - Subcutaneous,Adipose Tissue,11.0333333333,4.5
IGK,G22972.GTEX-U412-0426-SM-3DB9O.1,Skin - Sun Exposed (Lower leg),Skin,11.0,1.0
IGK,G32968.GTEX-XBED-0226-SM-47JY8.3,Pancreas,Pancreas,11.137254902,1.0
IGK,G19403.GTEX-S7SE-0226-SM-2XCD4.1,Adipose - Subcutaneous,Adipose Tissue,11.5454545455,2.0
IGK,G53814.GTEX-12BJ1-2226.2,Minor Salivary Gland,Salivary Gland,10.9736842105,1.0
IGK,G64232.GTEX-145MN-0326.1,Kidney - Cortex,Kidney,11.0591715976,1.0
IGK,G42469.GTEX-QEG4-0726.2,Esophagus - Mucosa,Esophagus,10.9822064057,1.0
IGK,G62176.GTEX-ZYY3-3226.2,Pituitary,Pituitary,11.3225806452,1.0
IGK,G34319.GTEX-XLM4-0011-R3B-SM-4AT6E.3,Brain - Anterior cingulate cortex (BA24),Brain,11.0,1.0
IGK,G53086.GTEX-11NSD-0226.3,Adrenal Gland,Adrenal Gland,11.0740740741,1.0
IGK,G53115.GTEX-11LCK-0326.3,Adipose - Visceral (Omentum),Adipose Tissue,10.8842975207,2.0
IGK,G62019.GTEX-139UW-0011-R9b.2,Brain - Spinal cord (cervical c-1),Brain,11.6666666667,1.0
IGK,G32972.GTEX-XAJ8-1126-SM-47JYA.3,Nerve - Tibial,Nerve,11.1428571429,1.0
IGK,G33975.GTEX-S33H-1326-SM-4AD6A.3,Adrenal Gland,Adrenal Gland,11.0,1.0
IGK,G25711.GTEX-O5YT-1426-SM-3MJHC.1,Colon - Transverse,Colon,11.0507099391,1.0
IGK,G35335.GTEX-U4B1-1826-SM-4DXSU.7,Skin - Sun Exposed (Lower leg),Skin,10.9666666667,1.0
IGK,G64234.GTEX-145MN-0626.1,Heart - Left Ventricle,Heart,11.1359223301,1.0
IGK,G46920.GTEX-Y9LG-1826.1,Prostate,Prostate,11.1153846154,1.0
IGK,G61821.GTEX-13VXT-0226.2,Adipose - Subcutaneous,Adipose Tissue,11.0281690141,2.0
IGK,G45211.GTEX-YJ89-0011-R2b.2,Brain - Substantia nigra,Brain,11.0,1.0
IGK,G23407.GTEX-Q2AI-1526-SM-3GIJ3.1,Muscle - Skeletal,Muscle,11.2222222222,1.0
IGK,G20872.GTEX-QDT8-0011-R5A-SM-32PKN.1,Brain - Caudate (basal ganglia),Brain,11.0,1.0
IGK,G25134.GTEX-O5YW-0006-SM-3LK6E.1,Whole Blood,Blood,11.0168776371,2.0
IGK,G41581.GTEX-WYJK-0626.1,Prostate,Prostate,11.0535714286,1.0
IGK,G35573.GTEX-WXYG-2226-SM-4E3IM.4,Breast - Mammary Tissue,Breast,11.0542461654,2.0
IGK,G21099.GTEX-TKQ1-0006-SM-33HBI.1,Whole Blood,Blood,11.0797227036,1.0
IGK,G59681.GTEX-11DXX-1626.2,Small Intestine - Terminal Ileum,Small Intestine,11.0845360825,1.0
IGK,G42341.GTEX-X4LF-0126.2,Adrenal Gland,Adrenal Gland,11.2258064516,1.0
IGK,G64010.GTEX-14A5H-0726.1,Thyroid,Thyroid,11.0,1.0
IGK,G48886.GTEX-ZE9C-3126.1,Pituitary,Pituitary,11.25,1.0
IGK,G35582.GTEX-X5EB-2526-SM-4E3HY.4,Nerve - Tibial,Nerve,11.2307692308,1.0
IGK,G62065.GTEX-13JUV-0011-R5a.2,Brain - Caudate (basal ganglia),Brain,10.6666666667,1.0
IGK,G65703.GTEX-14E6C-0926.2,Esophagus - Muscularis,Esophagus,11.8333333333,1.0
IGK,G33838.GTEX-QCQG-0626-SM-48U21.3,Esophagus - Mucosa,Esophagus,11.2291666667,1.0
IGK,G42244.GTEX-X261-0526.4,Artery - Tibial,Blood Vessel,11.0350877193,1.0
IGK,G34687.GTEX-XV7Q-0005-SM-4BRWI.1,Whole Blood,Blood,11.1306193806,1.0
IGK,G33767.GTEX-QDT8-2526-SM-48TYX.3,Vagina,Vagina,11.2,1.0
IGK,G33618.GTEX-RM2N-1926-SM-48FCU.4,Liver,Liver,11.093422307,1.0
IGK,G62867.GTEX-YEC4-1026.3,Esophagus - Mucosa,Esophagus,11.1122728404,2.0
IGK,G33616.GTEX-R53T-0726-SM-48FCS.4,Artery - Coronary,Blood Vessel,11.1612903226,2.0
IGK,G34355.GTEX-XMK1-0226-SM-4B65D.3,Adrenal Gland,Adrenal Gland,11.0,1.0
IGK,G62151.GTEX-13OVH-0011-R8b.2,Brain - Hypothalamus,Brain,12.0,1.0
IGK,G58367.GTEX-11WQK-3226.2,Pituitary,Pituitary,11.0,1.0
IGK,G59691.GTEX-11DYG-1926.2,Esophagus - Gastroesophageal Junction,Esophagus,10.96875,1.0
IGK,G35566.GTEX-WZTO-0011-R11A-SM-4E3K9.4,Brain - Cerebellar Hemisphere,Brain,11.4,1.0
IGK,G62750.GTEX-ZT9X-0926.3,Adipose - Visceral (Omentum),Adipose Tissue,11.3636363636,1.0
IGK,G62270.GTEX-1117F-0626.2,Artery - Coronary,Blood Vessel,11.0970149254,2.0
IGK,G19422.GTEX-SIU8-0626-SM-2XCDN.1,Thyroid,Thyroid,11.0977859779,1.0
IGK,G33973.GTEX-S32W-2026-SM-4AD6E.3,Breast - Mammary Tissue,Breast,11.1507430998,1.0
IGK,G19372.GTEX-S7SF-0226-SM-3K2BI.1,Thyroid,Thyroid,11.1,1.0
IGK,G34413.GTEX-XPVG-1726-SM-4B65W.3,Small Intestine - Terminal Ileum,Small Intestine,11.0833333333,1.0
IGK,G53841.GTEX-12ZZX-1726.2,Adipose - Visceral (Omentum),Adipose Tissue,11.2317073171,2.0
IGK,G21121.GTEX-OHPM-2626-SM-33HC5.1,Thyroid,Thyroid,10.9090909091,1.0
IGK,G33648.GTEX-RNOR-1226-SM-48FDQ.4,Esophagus - Mucosa,Esophagus,10.9512195122,1.0
IGK,G63157.GTEX-133LE-0226.2,Artery - Aorta,Blood Vessel,10.9,3.0
IGK,G60832.GTEX-13CF2-0011-R2a.2,Brain - Substantia nigra,Brain,11.75,1.0
IGK,G62601.GTEX-145MN-0726.2,Heart - Atrial Appendage,Heart,10.9666666667,1.0
IGK,G34385.GTEX-XPT6-0326-SM-4B66V.3,Artery - Aorta,Blood Vessel,11.4565217391,1.0
IGK,G34325.GTEX-XLM4-0011-R7A-SM-4AT5L.2,Brain - Putamen (basal ganglia),Brain,11.125,1.0
IGK,G62671.GTEX-13OVL-0006.2,Whole Blood,Blood,11.1073219659,1.0
IGK,G33856.GTEX-Q2AH-0008-SM-48U2J.3,Cells - Transformed fibroblasts,Skin,10.5294117647,1.0
IGK,G33897.GTEX-PSDG-1626-SM-48TCQ.1,Breast - Mammary Tissue,Breast,11.064516129,1.0
IGK,G18085.GTEX-O5YV-1826-SM-2YUNI.1,Nerve - Tibial,Nerve,11.0303030303,1.0
IGK,G62972.GTEX-139T6-1426.3,Colon - Sigmoid,Colon,11.0909090909,1.0
IGK,G26538.GTEX-WYBS-1926-SM-3NM8N.1,Thyroid,Thyroid,11.1,1.0
IGK,G23324.GTEX-Q734-2026-SM-3GADA.1,Muscle - Skeletal,Muscle,11.25,1.0
IGK,G64238.GTEX-145MO-0426.1,Adipose - Subcutaneous,Adipose Tissue,10.8235294118,2.0
IGK,G34311.GTEX-XMD1-0008-SM-4AT41.2,Cells - Transformed fibroblasts,Skin,11.25,1.0
IGK,G35572.GTEX-WXYG-2026-SM-4E3IY.4,Skin - Not Sun Exposed (Suprapubic),Skin,10.8888888889,1.0
IGK,G62148.GTEX-13N1W-0011-R1b.2,Brain - Hippocampus,Brain,11.6666666667,1.0
IGK,G63201.GTEX-13PDP-0011-R1a.2,Brain - Hippocampus,Brain,11.1666666667,1.0
IGK,G46520.GTEX-Y8DK-0426.1,Nerve - Tibial,Nerve,10.875,1.0
IGK,G63972.GTEX-13X6J-1626.1,Esophagus - Muscularis,Esophagus,11.1666666667,1.0
IGK,G53101.GTEX-11GS4-2626.3,Adipose - Subcutaneous,Adipose Tissue,11.2972972973,1.0
IGK,G33625.GTEX-R55E-0326-SM-48FD2.4,Artery - Tibial,Blood Vessel,11.05,1.0
IGK,G64250.GTEX-14AS3-0426.1,Adipose - Visceral (Omentum),Adipose Tissue,11.1,1.0
IGK,G60391.GTEX-13FH7-0926.3,Heart - Left Ventricle,Heart,11.2222222222,1.0
IGK,G33787.GTEX-Q2AH-1026-SM-48TZI.3,Esophagus - Muscularis,Esophagus,11.3529411765,1.0
IGK,G26532.GTEX-S4UY-0008-SM-3NM8H.1,Cells - Transformed fibroblasts,Skin,10.9230769231,1.0
IGK,G25955.GTEX-WWYW-0005-SM-3NB3K.2,Whole Blood,Blood,11.0417090539,1.0
